,id_dep,nome,Ano-Mes,dataDocumento,nomeFornecedor,tipoDespesa,valorLiquido
921,178957,ABEL MESQUITA JR.,2018-04,2018-04-10,GOES COMBUSTIVEIS LUBRIFICANTES E GLP LTDA,COMBUSTÍVEIS E LUBRIFICANTES.,113.32
922,178957,ABEL MESQUITA JR.,2018-04,2018-04-24,PETROLEO E DERIVADOS PIRAQUE LTDA,COMBUSTÍVEIS E LUBRIFICANTES.,100.0
923,178957,ABEL MESQUITA JR.,2018-05,2018-05-31,POSTO DE COMBUSTIVEIS 214 SUL LTDA,COMBUSTÍVEIS E LUBRIFICANTES.,145.08
924,178957,ABEL MESQUITA JR.,2018-03,2018-03-13,POSTO DISBRAVE IMPERIAL LTDA,COMBUSTÍVEIS E LUBRIFICANTES.,155.93
925,178957,ABEL MESQUITA JR.,2018-04,2018-04-18,POSTO DISBRAVE IMPERIAL LTDA,COMBUSTÍVEIS E LUBRIFICANTES.,120.01
926,178957,ABEL MESQUITA JR.,2018-05,2018-05-09,POSTO DISBRAVE IMPERIAL LTDA,COMBUSTÍVEIS E LUBRIFICANTES.,170.0
927,178957,ABEL MESQUITA JR.,2018-05,2018-05-21,POSTO DISBRAVE IMPERIAL LTDA,COMBUSTÍVEIS E LUBRIFICANTES.,141.34
928,178957,ABEL MESQUITA JR.,2018-05,2018-05-30,COPYLINE SERVICOS GRAFICOS E COMUNICACAO VISUAL LTDA - ME,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,18170.0
929,178957,ABEL MESQUITA JR.,2017-12,2017-12-05,LOCAWEB SERVICOS DE INTERNET S.A.,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1041.3
930,178957,ABEL MESQUITA JR.,2018-05,2018-05-30,AZUL LINHAS AÉREAS INTELIGENTES S.A,PASSAGEM AÉREA - REEMBOLSO,1068.03
931,178957,ABEL MESQUITA JR.,2018-04,2018-04-02,TAM S/A.,PASSAGEM AÉREA - REEMBOLSO,1580.17
932,178957,ABEL MESQUITA JR.,2018-06,2018-06-21,CLARO NET S/A,TELEFONIA,334.16
933,178957,ABEL MESQUITA JR.,2018-01,2018-01-20,CLARO S.A.,TELEFONIA,389.16
934,178957,ABEL MESQUITA JR.,2018-01,2018-01-18,CLARO S.A.,TELEFONIA,614.3
935,178957,ABEL MESQUITA JR.,2018-04,2018-04-18,CLARO S.A.,TELEFONIA,619.88
936,178957,ABEL MESQUITA JR.,2018-02,2018-02-18,CLARO S.A.,TELEFONIA,619.88
937,178957,ABEL MESQUITA JR.,2018-05,2018-05-17,CLARO S.A.,TELEFONIA,174.87
